Episode no = 150; won: False; Q(s,a) = nan; reward = -505.0; and epsilon = 0.98, win percentage = 0.0, 2023-04-13 01:27:37
Episode no = 160; won: False; Q(s,a) = nan; reward = -510.0; and epsilon = 0.9786666666666667, win percentage = 0.0, 2023-04-13 01:27:37
Episode no = 170; won: False; Q(s,a) = nan; reward = -509.0; and epsilon = 0.9773333333333334, win percentage = 0.0, 2023-04-13 01:27:38
Episode no = 180; won: False; Q(s,a) = nan; reward = -512.0; and epsilon = 0.976, win percentage = 0.0, 2023-04-13 01:27:38
Episode no = 190; won: False; Q(s,a) = nan; reward = -508.0; and epsilon = 0.9746666666666667, win percentage = 0.0, 2023-04-13 01:27:38
Episode no = 200; won: False; Q(s,a) = nan; reward = -508.0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2023-04-13 01:27:39
Episode no = 210; won: False; Q(s,a) = nan; reward = -507.0; and epsilon = 0.972, win percentage = 0.0, 2023-04-13 01:27:39
Episode no = 220; won: False; Q(s,a) = -2.9410936197878415; reward = -509.0; and epsilon = 0.9706666666666667, win percentage = 0.0, 2023-04-13 01:27:40
Episode no = 230; won: False; Q(s,a) = nan; reward = -508.0; and epsilon = 0.9693333333333334, win percentage = 0.0, 2023-04-13 01:27:40
Episode no = 240; won: False; Q(s,a) = nan; reward = -509.0; and epsilon = 0.968, win percentage = 0.0, 2023-04-13 01:27:41
Episode no = 250; won: False; Q(s,a) = nan; reward = -508.0; and epsilon = 0.9666666666666667, win percentage = 0.0, 2023-04-13 01:27:41
Episode no = 260; won: False; Q(s,a) = nan; reward = -510.0; and epsilon = 0.9653333333333334, win percentage = 0.0, 2023-04-13 01:27:42
Episode no = 270; won: False; Q(s,a) = -2.9496994060851214; reward = -508.0; and epsilon = 0.964, win percentage = 0.0, 2023-04-13 01:27:42
Episode no = 280; won: False; Q(s,a) = -3.020188243519455; reward = -508.0; and epsilon = 0.9626666666666667, win percentage = 0.0, 2023-04-13 01:27:43
Episode no = 290; won: False; Q(s,a) = nan; reward = -504.0; and epsilon = 0.9613333333333334, win percentage = 0.0, 2023-04-13 01:27:43
Episode no = 300; won: False; Q(s,a) = -3.2777919195986063; reward = -510.0; and epsilon = 0.96, win percentage = 0.0, 2023-04-13 01:27:44
Episode no = 310; won: False; Q(s,a) = -3.7738217013189432; reward = -507.0; and epsilon = 0.9586666666666667, win percentage = 0.0, 2023-04-13 01:27:44
Episode no = 320; won: False; Q(s,a) = -3.8619621339269545; reward = -520.0; and epsilon = 0.9573333333333334, win percentage = 0.0, 2023-04-13 01:27:45
Episode no = 330; won: False; Q(s,a) = nan; reward = -508.0; and epsilon = 0.956, win percentage = 0.0, 2023-04-13 01:27:45
Episode no = 340; won: False; Q(s,a) = nan; reward = -507.0; and epsilon = 0.9546666666666667, win percentage = 0.0, 2023-04-13 01:27:46
Episode no = 350; won: False; Q(s,a) = nan; reward = -506.0; and epsilon = 0.9533333333333334, win percentage = 0.0, 2023-04-13 01:27:46
Episode no = 360; won: False; Q(s,a) = -3.7380534740172595; reward = -516.0; and epsilon = 0.952, win percentage = 0.0, 2023-04-13 01:27:47
Episode no = 370; won: False; Q(s,a) = -3.9786392138025275; reward = -506.0; and epsilon = 0.9506666666666667, win percentage = 0.0, 2023-04-13 01:27:47
Episode no = 380; won: False; Q(s,a) = -4.215323207323113; reward = -518.0; and epsilon = 0.9493333333333334, win percentage = 0.0, 2023-04-13 01:27:48
Episode no = 390; won: False; Q(s,a) = -3.8949838837268795; reward = -513.0; and epsilon = 0.948, win percentage = 0.0, 2023-04-13 01:27:48
Episode no = 400; won: False; Q(s,a) = -3.9306890464855635; reward = -516.0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2023-04-13 01:27:49
Episode no = 410; won: False; Q(s,a) = -5.407376373256319; reward = -510.0; and epsilon = 0.9453333333333334, win percentage = 0.0, 2023-04-13 01:27:49
Episode no = 420; won: False; Q(s,a) = nan; reward = -509.0; and epsilon = 0.944, win percentage = 0.0, 2023-04-13 01:27:50
Episode no = 430; won: False; Q(s,a) = -4.713730224080397; reward = -518.0; and epsilon = 0.9426666666666667, win percentage = 0.0, 2023-04-13 01:27:50
Episode no = 440; won: False; Q(s,a) = nan; reward = -508.0; and epsilon = 0.9413333333333334, win percentage = 0.0, 2023-04-13 01:27:51
Episode no = 450; won: False; Q(s,a) = -4.761574557297409; reward = -506.0; and epsilon = 0.94, win percentage = 0.0, 2023-04-13 01:27:51
