Episode no = 440; won: False; Q(s,a) = 35.985749071900536; reward = -386.0; and epsilon = 0.9413333333333334, win percentage = 0.0, 2023-04-20 14:57:21
Episode no = 450; won: False; Q(s,a) = 33.5344694248223; reward = -458.0; and epsilon = 0.94, win percentage = 0.0, 2023-04-20 14:57:27
Episode no = 460; won: False; Q(s,a) = 35.96471722522074; reward = -478.0; and epsilon = 0.9386666666666666, win percentage = 0.0, 2023-04-20 14:57:36
Episode no = 470; won: False; Q(s,a) = nan; reward = -376.0; and epsilon = 0.9373333333333334, win percentage = 0.0, 2023-04-20 14:57:40
Episode no = 480; won: False; Q(s,a) = 29.966003136836996; reward = -388.0; and epsilon = 0.9359999999999999, win percentage = 0.0, 2023-04-20 14:57:44
Episode no = 490; won: False; Q(s,a) = 36.02241442469316; reward = -418.0; and epsilon = 0.9346666666666666, win percentage = 0.0, 2023-04-20 14:57:50
Episode no = 500; won: False; Q(s,a) = 36.59065117831812; reward = -470.0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2023-04-20 14:57:54
Episode no = 510; won: False; Q(s,a) = 32.29173947713141; reward = -454.0; and epsilon = 0.9319999999999999, win percentage = 0.0, 2023-04-20 14:58:00
Episode no = 520; won: False; Q(s,a) = 44.977649974223446; reward = -323.0; and epsilon = 0.9306666666666666, win percentage = 0.0, 2023-04-20 14:58:06
Episode no = 530; won: False; Q(s,a) = 44.93916869070287; reward = -358.0; and epsilon = 0.9293333333333333, win percentage = 0.0, 2023-04-20 14:58:11
Episode no = 540; won: False; Q(s,a) = 33.98785418574308; reward = -517.0; and epsilon = 0.928, win percentage = 0.0, 2023-04-20 14:58:17
Episode no = 550; won: False; Q(s,a) = 45.05944607982975; reward = -256.0; and epsilon = 0.9266666666666666, win percentage = 0.0, 2023-04-20 14:58:25
Episode no = 560; won: False; Q(s,a) = nan; reward = -475.0; and epsilon = 0.9253333333333333, win percentage = 0.0, 2023-04-20 14:58:31
Episode no = 570; won: False; Q(s,a) = 42.4081083468646; reward = -374.0; and epsilon = 0.924, win percentage = 0.0, 2023-04-20 14:58:36
Episode no = 580; won: False; Q(s,a) = 44.38290909572822; reward = -380.0; and epsilon = 0.9226666666666666, win percentage = 0.0, 2023-04-20 14:58:39
Episode no = 590; won: False; Q(s,a) = 47.35371280876037; reward = -238.0; and epsilon = 0.9213333333333333, win percentage = 0.0, 2023-04-20 14:58:45
Episode no = 600; won: False; Q(s,a) = 44.372409883967215; reward = -402.0; and epsilon = 0.92, win percentage = 0.0, 2023-04-20 14:58:53
Episode no = 610; won: False; Q(s,a) = 53.083525855360286; reward = -482.0; and epsilon = 0.9186666666666666, win percentage = 0.0, 2023-04-20 14:58:56
Episode no = 620; won: False; Q(s,a) = 54.450444743140736; reward = -342.0; and epsilon = 0.9173333333333333, win percentage = 0.0, 2023-04-20 14:59:01
Episode no = 630; won: False; Q(s,a) = 53.7446728337692; reward = -380.0; and epsilon = 0.916, win percentage = 0.0, 2023-04-20 14:59:06
Episode no = 640; won: False; Q(s,a) = 49.532578429063; reward = -418.0; and epsilon = 0.9146666666666666, win percentage = 0.0, 2023-04-20 14:59:13
Episode no = 650; won: False; Q(s,a) = 54.6260558540172; reward = -328.0; and epsilon = 0.9133333333333333, win percentage = 0.0, 2023-04-20 14:59:21
Episode no = 660; won: False; Q(s,a) = 53.76521758788745; reward = -420.0; and epsilon = 0.912, win percentage = 0.0, 2023-04-20 14:59:27
Episode no = 670; won: False; Q(s,a) = 54.80390047078958; reward = -408.0; and epsilon = 0.9106666666666666, win percentage = 0.0, 2023-04-20 14:59:32
Episode no = 680; won: False; Q(s,a) = 52.62004384205426; reward = -382.0; and epsilon = 0.9093333333333333, win percentage = 0.0, 2023-04-20 14:59:38
Episode no = 690; won: False; Q(s,a) = 55.080657116693935; reward = -374.0; and epsilon = 0.908, win percentage = 0.0, 2023-04-20 14:59:42
Episode no = 700; won: False; Q(s,a) = 28.359464914871626; reward = -467.0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2023-04-20 14:59:47
Episode no = 710; won: False; Q(s,a) = 58.99277997208776; reward = -465.0; and epsilon = 0.9053333333333333, win percentage = 0.0, 2023-04-20 14:59:53
Episode no = 720; won: False; Q(s,a) = 64.61490497301948; reward = -401.0; and epsilon = 0.904, win percentage = 0.0, 2023-04-20 15:00:00
Episode no = 730; won: False; Q(s,a) = 56.0769901255725; reward = -427.0; and epsilon = 0.9026666666666667, win percentage = 0.0, 2023-04-20 15:00:04
Episode no = 740; won: False; Q(s,a) = 59.14731250277746; reward = -420.0; and epsilon = 0.9013333333333333, win percentage = 0.0, 2023-04-20 15:00:10
Episode no = 750; won: False; Q(s,a) = 60.233558267034816; reward = -409.0; and epsilon = 0.9, win percentage = 0.0, 2023-04-20 15:00:14
Episode no = 760; won: False; Q(s,a) = nan; reward = -415.0; and epsilon = 0.8986666666666667, win percentage = 0.0, 2023-04-20 15:00:17
Episode no = 770; won: False; Q(s,a) = 58.22900554303173; reward = -474.0; and epsilon = 0.8973333333333333, win percentage = 0.0, 2023-04-20 15:00:22
Episode no = 780; won: False; Q(s,a) = 59.06925514489765; reward = -414.0; and epsilon = 0.896, win percentage = 0.0, 2023-04-20 15:00:28
Episode no = 790; won: False; Q(s,a) = 62.87134701151289; reward = -379.0; and epsilon = 0.8946666666666667, win percentage = 0.0, 2023-04-20 15:00:32
Episode no = 800; won: False; Q(s,a) = 58.35156642453332; reward = -390.0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2023-04-20 15:00:37
Episode no = 810; won: False; Q(s,a) = 67.29430280487449; reward = -458.0; and epsilon = 0.892, win percentage = 0.0, 2023-04-20 15:00:43
Episode no = 820; won: False; Q(s,a) = 67.28769976934666; reward = -380.0; and epsilon = 0.8906666666666667, win percentage = 0.0, 2023-04-20 15:00:49
Episode no = 830; won: False; Q(s,a) = 70.2912545855429; reward = -409.0; and epsilon = 0.8893333333333333, win percentage = 0.0, 2023-04-20 15:00:56
Episode no = 840; won: False; Q(s,a) = 62.90936327253357; reward = -408.0; and epsilon = 0.888, win percentage = 0.0, 2023-04-20 15:01:00
Episode no = 850; won: False; Q(s,a) = 71.84294955468931; reward = -133.0; and epsilon = 0.8866666666666667, win percentage = 0.0, 2023-04-20 15:01:06
Episode no = 860; won: False; Q(s,a) = 69.2915653762425; reward = -315.0; and epsilon = 0.8853333333333333, win percentage = 0.0, 2023-04-20 15:01:10
Episode no = 870; won: False; Q(s,a) = 67.6915490242775; reward = -465.0; and epsilon = 0.884, win percentage = 0.0, 2023-04-20 15:01:16
Episode no = 880; won: False; Q(s,a) = 67.06896581985801; reward = -370.0; and epsilon = 0.8826666666666667, win percentage = 0.0, 2023-04-20 15:01:21
Episode no = 890; won: False; Q(s,a) = 65.15663156952505; reward = -444.0; and epsilon = 0.8813333333333333, win percentage = 0.0, 2023-04-20 15:01:26
Episode no = 900; won: False; Q(s,a) = 50.14693482404581; reward = -473.0; and epsilon = 0.88, win percentage = 0.0, 2023-04-20 15:01:30
Episode no = 910; won: False; Q(s,a) = 75.46860098975276; reward = -409.0; and epsilon = 0.8786666666666667, win percentage = 0.0, 2023-04-20 15:01:35
Episode no = 920; won: False; Q(s,a) = 60.725304961015944; reward = -493.0; and epsilon = 0.8773333333333333, win percentage = 0.0, 2023-04-20 15:01:42
Episode no = 930; won: False; Q(s,a) = 72.47755525977139; reward = -502.0; and epsilon = 0.876, win percentage = 0.0, 2023-04-20 15:01:47
Episode no = 940; won: False; Q(s,a) = 71.76621466104922; reward = -332.0; and epsilon = 0.8746666666666667, win percentage = 0.0, 2023-04-20 15:01:53
Episode no = 950; won: False; Q(s,a) = 70.03377408117537; reward = -445.0; and epsilon = 0.8733333333333333, win percentage = 0.0, 2023-04-20 15:02:01
Episode no = 960; won: False; Q(s,a) = 67.29318714728552; reward = -392.0; and epsilon = 0.872, win percentage = 0.0, 2023-04-20 15:02:09
Episode no = 970; won: False; Q(s,a) = 70.8634144625748; reward = -393.0; and epsilon = 0.8706666666666667, win percentage = 0.0, 2023-04-20 15:02:14
Episode no = 980; won: False; Q(s,a) = nan; reward = -484.0; and epsilon = 0.8693333333333333, win percentage = 0.0, 2023-04-20 15:02:18
Episode no = 990; won: False; Q(s,a) = 70.08902204812281; reward = -344.0; and epsilon = 0.868, win percentage = 0.0, 2023-04-20 15:02:25
Episode no = 1000; won: False; Q(s,a) = 75.74670916217183; reward = -460.0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2023-04-20 15:02:31
Episode no = 1010; won: False; Q(s,a) = 76.3850162396757; reward = -363.0; and epsilon = 0.8653333333333333, win percentage = 0.0, 2023-04-20 15:02:40
Episode no = 1020; won: False; Q(s,a) = 78.76560902580229; reward = -330.0; and epsilon = 0.864, win percentage = 0.0, 2023-04-20 15:02:44
Episode no = 1030; won: False; Q(s,a) = 80.71118243982181; reward = -270.0; and epsilon = 0.8626666666666667, win percentage = 0.0, 2023-04-20 15:02:50
Episode no = 1040; won: False; Q(s,a) = 76.06402396663013; reward = -377.0; and epsilon = 0.8613333333333333, win percentage = 0.0, 2023-04-20 15:02:53
Episode no = 1050; won: False; Q(s,a) = 86.6677692739235; reward = -438.0; and epsilon = 0.86, win percentage = 0.0, 2023-04-20 15:02:57
Episode no = 1060; won: False; Q(s,a) = 78.78293696360909; reward = -353.0; and epsilon = 0.8586666666666667, win percentage = 0.0, 2023-04-20 15:03:01
Episode no = 1070; won: False; Q(s,a) = 75.49863039236442; reward = -404.0; and epsilon = 0.8573333333333333, win percentage = 0.0, 2023-04-20 15:03:05
Episode no = 1080; won: False; Q(s,a) = 74.24988293253317; reward = -341.0; and epsilon = 0.856, win percentage = 0.0, 2023-04-20 15:03:11
Episode no = 1090; won: False; Q(s,a) = 79.89916387711271; reward = -296.0; and epsilon = 0.8546666666666667, win percentage = 0.0, 2023-04-20 15:03:17
Episode no = 1100; won: False; Q(s,a) = 77.44424383602278; reward = -417.0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2023-04-20 15:03:21
Episode no = 1110; won: False; Q(s,a) = 80.46929633786439; reward = -477.0; and epsilon = 0.852, win percentage = 0.0, 2023-04-20 15:03:27
Episode no = 1120; won: False; Q(s,a) = 87.59426150031305; reward = -307.0; and epsilon = 0.8506666666666667, win percentage = 0.0, 2023-04-20 15:03:38
Episode no = 1130; won: False; Q(s,a) = 86.51607564994688; reward = -371.0; and epsilon = 0.8493333333333333, win percentage = 0.0, 2023-04-20 15:03:45
